timestamp,setup,punchline,concepts,difficulty,type,context
2024-10-28T19:36:06.506122,Why did the AI ethics professor bring a ladder to the deep learning lecture?,They kept asking the robots for informed consent!,"bias,privacy",advanced,wordplay,wedding
2024-10-28T19:36:06.506152,How does an AI ethics professor debug their code?,They don't - they form a focus group to ensure participatory design!,transparency,master,wordplay,wedding
2024-10-28T19:36:06.506170,What's an AI ethics professor's favorite way to teach?,To help students reach a higher moral ground!,"transparency,doom,love",master,wordplay,conference
2024-10-28T19:36:06.506185,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,"accountability,ai-armageddon",master,wordplay,meeting
2024-10-28T19:36:06.506199,What's an AI ethics professor's favorite way to teach?,Because they keep generating their own terms and conditions!,"consent,automation",intermediate,wordplay,office hours
2024-10-28T19:36:06.506214,What's an AI ethics professor's favorite dance move?,The Bias Identity!,"doom,correctness,responsibility",master,wordplay,wedding
2024-10-28T19:36:06.506228,Why don't AI ethics professors trust GPT models?,The Bias Identity!,apocalypse,advanced,situational,meeting
2024-10-28T19:36:06.506239,What did the AI ethics professor say to the neural network?,The Bias Identity!,"transparency,love",advanced,pun,lab
2024-10-28T19:36:06.506252,Why don't AI ethics professors make good pancake chefs? Because they always flip out over the bias in batter!,,privacy,beginner,meta,divorce
2024-10-28T19:36:06.506266,Why did the AI ethics professor bring a ladder to breakfast?,"Because he heard they were serving ETHICS-press-o *high* on the agenda, along with some FAIR-trade coffee from the cloud!","ethics,responsibility,correctness",advanced,pun,meeting
2024-10-28T19:36:06.506284,What's an AI ethics professor's favorite movie?,They don't - they form a focus group to ensure participatory design!,"discrimination,explainability,responsibility",intermediate,pun,research
2024-10-28T19:36:06.506299,Why did the AI ethics professor bring a ladder to the deep learning lecture?,They kept asking the robots for informed consent!,consent,advanced,wordplay,seminar
2024-10-28T19:36:06.506316,What's an AI ethics professor's favorite breakfast?,ETHICS-press-o with a side of FAIR-trade coffee!,"transparency,fairness,ethics",master,pun,divorce
2024-10-28T19:36:06.506332,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,responsibility,master,wordplay,workshop
2024-10-28T19:36:06.506347,Why don't AI ethics professors trust GPT models?,To get to the ethical side of the road!,"discrimination,bias",beginner,pun,lab
2024-10-28T19:36:06.506359,Why did the AI ethics professor get kicked out of the machine learning conference?,"None, they form a committee to discuss the societal implications first!","apocalypse,transparency",intermediate,dad joke,funeral
2024-10-28T19:36:06.506376,What's an AI ethics professor's favorite exercise?,You need to work on your BIAS-ceps!,ai-apocalypse,advanced,situational,seminar
2024-10-28T19:36:06.506391,Why don't AI ethics professors trust GPT models?,The Bias Identity!,"doom,explainability",advanced,meta,divorce
2024-10-28T19:36:06.506404,What's an AI ethics professor's favorite movie?,You need to work on your BIAS-ceps!,"responsibility,automation,consent",intermediate,situational,conference
2024-10-28T19:36:06.506415,What's an AI ethics professor's favorite way to teach?,The responsible AI shuffle!,"consent,fairness,doom",intermediate,meta,party
2024-10-28T19:36:06.506430,What's an AI ethics professor's favorite breakfast?,ETHICS-press-o with a side of FAIR-trade coffee!,ethics,advanced,dad joke,workshop
2024-10-28T19:36:06.506443,What did the AI ethics professor say to the neural network?,Running ethical implications!,explainability,advanced,wordplay,workshop
2024-10-28T19:36:06.506458,What's an AI ethics professor's favorite way to teach?,Because they keep generating their own terms and conditions!,correctness,advanced,wordplay,meeting
2024-10-28T19:36:06.506469,What's an AI ethics professor's favorite movie?,To get to the ethical side of the road!,"accountability,transparency",beginner,dad joke,conference
2024-10-28T19:36:06.506484,Why did the AI ethics professor bring a ladder to the deep learning lecture?,To help students reach a higher moral ground!,"fairness,ai-armageddon",master,dad joke,conference
2024-10-28T19:36:06.506496,How many AI ethics professors does it take to debug a biased model?,They don't - they form a focus group to ensure participatory design!,"automation,explainability",advanced,pun,seminar
