model,rating,review_text,review_date
"AirMax Nova",4.5,"Super comfortable for daily wear. Great cushioning and breathability. Worth every penny!","2024-01-15"
"AirMax Nova",3.0,"Decent shoes but runs a bit small. Had to size up.","2024-01-20"
"Galaxy Glider",5.0,"Best running shoes I've ever owned! Perfect for long distances and great support.","2024-02-01"
"Galaxy Glider",4.0,"Good quality and stylish. A bit pricey but the comfort makes up for it.","2024-02-10"
"Stellar Surge",4.8,"Amazing grip and stability. Perfect for gym workouts and casual wear.","2024-01-25"
"Stellar Surge",3.5,"Nice looking but takes time to break in. Cushioning is excellent though.","2024-02-05"
"Cosmic Wave",5.0,"These are incredible! So lightweight and the design is eye-catching.","2024-01-30"
"Cosmic Wave",4.2,"Great for running and everyday use. Breathable material keeps feet cool.","2024-02-15"
"Nova Drift",4.7,"Premium quality and super comfortable. Get lots of compliments on these.","2024-01-18"
"Nova Drift",3.8,"Good shoes overall but wish they had more color options.","2024-02-08"
"Velocity Boost",4.5,"Perfect balance of style and comfort. Great for both casual and athletic use.","2024-01-22"
"Velocity Boost",4.0,"Solid construction and good support. A bit stiff at first but breaks in nicely.","2024-02-12"
"Quantum Leap",4.9,"These exceeded my expectations! Amazing for high-intensity training.","2024-01-28"
"Quantum Leap",3.7,"Good looking shoes but could use more arch support.","2024-02-03"
"Echo Runner",4.6,"Fantastic daily trainers. Great value for the quality you get.","2024-02-07"
"Echo Runner",4.3,"Very comfortable and durable. Been using them for months with no issues.","2024-01-17"
