timestamp,instruction,input,output,difficulty,type,context
2024-10-28T19:36:06.516630,Generate a funny joke about AI ethics and society.,"Topic: bias, privacy","Why did the AI ethics professor bring a ladder to the deep learning lecture?
They kept asking the robots for informed consent!",advanced,wordplay,wedding
2024-10-28T19:36:06.516640,Generate a funny joke about AI ethics and society.,Topic: transparency,"How does an AI ethics professor debug their code?
They don't - they form a focus group to ensure participatory design!",master,wordplay,wedding
2024-10-28T19:36:06.516645,Generate a funny joke about AI ethics and society.,"Topic: transparency, doom, love","What's an AI ethics professor's favorite way to teach?
To help students reach a higher moral ground!",master,wordplay,conference
2024-10-28T19:36:06.516650,Generate a funny joke about AI ethics and society.,"Topic: accountability, ai-armageddon","What's an AI ethics professor's favorite way to debug?
They don't - they form a focus group to ensure participatory design!",master,wordplay,meeting
2024-10-28T19:36:06.516655,Generate a funny joke about AI ethics and society.,"Topic: consent, automation","What's an AI ethics professor's favorite way to teach?
Because they keep generating their own terms and conditions!",intermediate,wordplay,office hours
2024-10-28T19:36:06.516660,Generate a funny joke about AI ethics and society.,"Topic: doom, correctness, responsibility","What's an AI ethics professor's favorite dance move?
The Bias Identity!",master,wordplay,wedding
2024-10-28T19:36:06.516665,Generate a funny joke about AI ethics and society.,Topic: apocalypse,"Why don't AI ethics professors trust GPT models?
The Bias Identity!",advanced,situational,meeting
2024-10-28T19:36:06.516670,Generate a funny joke about AI ethics and society.,"Topic: transparency, love","What did the AI ethics professor say to the neural network?
The Bias Identity!",advanced,pun,lab
2024-10-28T19:36:06.516675,Generate a funny joke about AI ethics and society.,Topic: privacy,"Why don't AI ethics professors make good pancake chefs? Because they always flip out over the bias in batter!
",beginner,meta,divorce
2024-10-28T19:36:06.516680,Generate a funny joke about AI ethics and society.,"Topic: ethics, responsibility, correctness","Why did the AI ethics professor bring a ladder to breakfast?
Because he heard they were serving ETHICS-press-o *high* on the agenda, along with some FAIR-trade coffee from the cloud!",advanced,pun,meeting
2024-10-28T19:36:06.516686,Generate a funny joke about AI ethics and society.,"Topic: discrimination, explainability, responsibility","What's an AI ethics professor's favorite movie?
They don't - they form a focus group to ensure participatory design!",intermediate,pun,research
2024-10-28T19:36:06.516691,Generate a funny joke about AI ethics and society.,Topic: consent,"Why did the AI ethics professor bring a ladder to the deep learning lecture?
They kept asking the robots for informed consent!",advanced,wordplay,seminar
2024-10-28T19:36:06.516695,Generate a funny joke about AI ethics and society.,"Topic: transparency, fairness, ethics","What's an AI ethics professor's favorite breakfast?
ETHICS-press-o with a side of FAIR-trade coffee!",master,pun,divorce
2024-10-28T19:36:06.516698,Generate a funny joke about AI ethics and society.,Topic: responsibility,"What's an AI ethics professor's favorite way to debug?
They don't - they form a focus group to ensure participatory design!",master,wordplay,workshop
2024-10-28T19:36:06.516702,Generate a funny joke about AI ethics and society.,"Topic: discrimination, bias","Why don't AI ethics professors trust GPT models?
To get to the ethical side of the road!",beginner,pun,lab
2024-10-28T19:36:06.516706,Generate a funny joke about AI ethics and society.,"Topic: apocalypse, transparency","Why did the AI ethics professor get kicked out of the machine learning conference?
None, they form a committee to discuss the societal implications first!",intermediate,dad joke,funeral
2024-10-28T19:36:06.516711,Generate a funny joke about AI ethics and society.,Topic: ai-apocalypse,"What's an AI ethics professor's favorite exercise?
You need to work on your BIAS-ceps!",advanced,situational,seminar
2024-10-28T19:36:06.516715,Generate a funny joke about AI ethics and society.,"Topic: doom, explainability","Why don't AI ethics professors trust GPT models?
The Bias Identity!",advanced,meta,divorce
