Model,Price (EUR),Stock Level,Material,Color,Description
AirMax Nova,120,High,Synthetic Leather,Red/White,"A classic sneaker with synthetic leather, ideal for urban explorers."
Blaze Runner,90,Medium,Mesh Fabric,Black/Grey,"Lightweight and breathable mesh fabric, perfect for casual wear."
Galaxy Glider,140,Low,Genuine Leather,Blue/Silver,"Premium leather design offering durability and a touch of elegance."
SkyHigh Pro,200,Low,Synthetic Leather,Green/White,"High-performance sneaker for athletes, with enhanced grip and support."
Lunar Eclipse,180,High,Genuine Leather,Black/Gold,"Stylish and durable leather sneaker, suited for everyday wear."
StarTread 360,150,Medium,Canvas,Grey/White,"Flexible canvas sneaker with extra cushioning for added comfort."
Nimbus Flow,130,Low,Knit Fabric,Blue/Grey,"Sleek and minimalistic knit sneaker, designed for easy movement."
Turbo Charge,110,High,Mesh Fabric,Red/Black,Durable and lightweight with excellent shock absorption for runners.
Orbit Flex,170,Medium,Synthetic Leather,White/Silver,"Premium synthetic leather, combining style and comfort for all-day wear."
Astro Speedster,160,Low,Genuine Leather,Yellow/Black,"Made for speed with genuine leather, providing both durability and flair."
Solar Strike,115,Low,Knit Fabric,Blue/Green,Knit fabric blend that conforms to your foot shape for a natural feel.
Fusion Pro,95,High,Synthetic Leather,Black/Yellow,Bold colors and sturdy design for outdoor enthusiasts.
AeroGlide,145,Medium,Mesh Fabric,Silver/White,"Breathable and stylish, crafted with a mix of knit and mesh materials."
Eclipse X,205,High,Genuine Leather,Gold/Black,"Soft and lightweight with a breathable mesh, perfect for workouts."
Bolt Runner,85,Medium,Canvas,Red/Grey,"Designed for speed and agility, crafted from durable synthetic leather."
Hyper Flux,160,Low,Knit Fabric,Blue/Yellow,"Comfortable and airy, ideal for daily commutes and long walks."
Venus Velocity,175,Low,Synthetic Leather,White/Gold,Lightweight design with cushioned sole for running and sports.
Comet Cruiser,125,High,Genuine Leather,Black/Red,Luxury knit sneaker with reinforced stitching for durability.
Nebula Boost,155,Medium,Canvas,Green/White,High-fashion look with canvas and a sleek design for versatility.
Asteroid Prime,135,Low,Mesh Fabric,Blue/Black,Mesh blend that provides ventilation and support for active days.
Storm Force,185,Medium,Synthetic Leather,Silver/Grey,"Premium leather for a bold look, suited for both casual and active wear."
Quantum Leap,170,High,Canvas,Red/White,Crafted with a mix of canvas and leather for durability and comfort.
Gravity Gear,140,Low,Knit Fabric,Blue/Silver,Minimalist design with knit fabric for a modern and clean look.
Zenith Edge,130,High,Mesh Fabric,Green/Grey,"Mesh and canvas blend, perfect for a mix of comfort and style."
Apollo Rise,195,Low,Genuine Leather,Black/Red,"High-energy sneaker for dynamic movement, crafted with premium leather."
Cosmic Wave,165,Medium,Synthetic Leather,Purple/White,"Dynamic design with enhanced cushioning, perfect for urban adventures."
Meteor Max,145,High,Mesh Fabric,Orange/Black,"Lightweight mesh construction with superior ventilation, ideal for summer."
Pulsar Pro,190,Low,Genuine Leather,Brown/Gold,"Premium leather craftsmanship with modern athletic features."
Nova Drift,125,Medium,Canvas,Navy/White,"Classic canvas style with contemporary comfort technology."
Stellar Surge,175,High,Knit Fabric,Grey/Pink,"Adaptive knit material that provides a sock-like fit."
Jupiter Jump,155,Low,Synthetic Leather,White/Blue,"Springy sole design with durable synthetic upper for lasting performance."
Saturn Speed,185,Medium,Genuine Leather,Tan/White,"Luxurious leather finish with advanced cushioning system."
Mars Motion,135,High,Mesh Fabric,Red/Silver,"Breathable mesh design optimized for high-intensity activities."
Pluto Pace,165,Low,Canvas,Black/Orange,"Durable canvas construction with modern athletic features."
Galaxy Guide,195,Medium,Knit Fabric,Purple/Black,"Premium knit upper with responsive cushioning technology."
Titan Track,145,High,Synthetic Leather,Grey/Yellow,"Robust synthetic leather build for maximum durability."
Comet Cross,170,Low,Genuine Leather,White/Green,"Cross-training design with genuine leather comfort."
Nebula Ninja,160,Medium,Mesh Fabric,Black/Purple,"Stealth-inspired design with cutting-edge mesh technology."
Solar Spark,180,High,Canvas,Blue/Orange,"Lightweight canvas with enhanced durability features."
Lunar Light,140,Low,Knit Fabric,White/Pink,"Ultra-lightweight knit construction for all-day comfort."
Orbit Omega,195,Medium,Synthetic Leather,Red/Gold,"Premium synthetic materials with advanced support system."
Astro Ace,155,High,Genuine Leather,Grey/Blue,"Classic leather design with modern performance features."
Meteor Might,165,Low,Mesh Fabric,Green/Black,"Dynamic mesh pattern with enhanced breathability."
Cosmic Crush,175,Medium,Canvas,Purple/Grey,"Street-style canvas with premium comfort features."
Star Stream,150,High,Knit Fabric,Black/White,"Streamlined knit design for maximum flexibility."
Nova Nexus,185,Low,Synthetic Leather,Blue/Gold,"Next-gen synthetic materials with enhanced durability."
Planet Pace,145,Medium,Genuine Leather,Brown/Black,"Traditional leather craft meets modern sport technology."
Eclipse Elite,170,High,Mesh Fabric,White/Red,"Elite performance mesh with targeted support zones."
Pulsar Power,160,Low,Canvas,Grey/Green,"Power-focused design with durable canvas construction."
Stellar Step,190,Medium,Knit Fabric,Black/Silver,"Advanced knit technology with premium cushioning."
