Model,Store,Stock_Count,Next_Delivery,Special_Order_Time
AirMax Nova,Kicks Galaxy Eindhoven,5,2024-04-15,3-5 days
AirMax Nova,Urban Sneakers,2,2024-04-20,3-5 days
AirMax Nova,Kicks Galaxy Helmond,0,2024-04-18,3-5 days
AirMax Nova,Sneaker Studio,3,2024-04-22,3-5 days
Galaxy Glider,Kicks Galaxy Eindhoven,8,2024-04-25,3-5 days
Galaxy Glider,Urban Sneakers,0,2024-04-18,3-5 days
Galaxy Glider,Kicks Galaxy Helmond,4,2024-04-20,3-5 days
Stellar Surge,Kicks Galaxy Eindhoven,2,2024-04-16,3-5 days
Stellar Surge,Urban Sneakers,6,2024-04-19,3-5 days
Stellar Surge,Kicks Galaxy Tilburg,3,2024-04-21,3-5 days
Cosmic Wave,Kicks Galaxy Eindhoven,0,2024-04-17,3-5 days
Cosmic Wave,Sneaker Studio,4,2024-04-23,3-5 days
Cosmic Wave,Kicks Galaxy Tilburg,2,2024-04-20,3-5 days
Nova Drift,Urban Sneakers,7,2024-04-24,3-5 days
Nova Drift,Kicks Galaxy Helmond,3,2024-04-19,3-5 days
Nova Drift,Sneaker Studio,0,2024-04-22,3-5 days
Velocity Boost,Kicks Galaxy Eindhoven,1,2024-04-16,3-5 days
Velocity Boost,Urban Sneakers,5,2024-04-19,3-5 days
Velocity Boost,Kicks Galaxy Helmond,2,2024-04-21,3-5 days
Quantum Leap,Kicks Galaxy Eindhoven,0,2024-04-17,3-5 days
Quantum Leap,Urban Sneakers,3,2024-04-23,3-5 days
Quantum Leap,Kicks Galaxy Tilburg,2,2024-04-20,3-5 days
Echo Runner,Kicks Galaxy Eindhoven,4,2024-04-25,3-5 days
Echo Runner,Urban Sneakers,0,2024-04-18,3-5 days
Echo Runner,Kicks Galaxy Helmond,2,2024-04-20,3-5 days
Echo Runner,Sneaker Studio,3,2024-04-22,3-5 days
